date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,fatal
2021-03-27,PA,Abaetetuba,city,6076,133,True,159080,1500107,3819.46191,0.0219,17
2021-03-27,PA,Abel Figueiredo,city,699,5,True,7486,1500131,9337.42987,0.0072,3
2021-03-27,PA,Acará,city,1034,22,True,55669,1500206,1857.40717,0.0213,14
2021-03-27,PA,Afuá,city,2757,14,True,39567,1500305,6967.92782,0.0051,0
2021-03-27,PA,Água Azul do Norte,city,965,5,True,27615,1500347,3494.47764,0.0052,12
2021-03-27,PA,Alenquer,city,2039,69,True,57092,1500404,3571.42857,0.0338,5
2021-03-27,PA,Almeirim,city,2934,26,True,34076,1500503,8610.16551,0.0089,0
2021-03-27,PA,Altamira,city,10323,208,True,115969,1500602,8901.51678,0.0201,37
2021-03-27,PA,Anajás,city,1197,14,True,29688,1500701,4031.93209,0.0117,0
2021-03-27,PA,Ananindeua,city,16066,525,True,535547,1500800,2999.92344,0.0327,44
2021-03-27,PA,Anapu,city,1223,26,True,28607,1500859,4275.1774,0.0213,14
2021-03-27,PA,Augusto Corrêa,city,1658,29,True,46471,1500909,3567.81649,0.0175,7
2021-03-27,PA,Aurora do Pará,city,922,11,True,31773,1500958,2901.83489,0.0119,7
2021-03-27,PA,Aveiro,city,554,7,True,16404,1501006,3377.22507,0.0126,0
2021-03-27,PA,Bagre,city,753,11,True,31325,1501105,2403.83081,0.0146,0
2021-03-27,PA,Baião,city,590,21,True,48459,1501204,1217.52409,0.0356,1
2021-03-27,PA,Bannach,city,255,2,True,3262,1501253,7817.29001,0.0078,0
2021-03-27,PA,Barcarena,city,7735,150,True,127027,1501303,6089.25661,0.0194,23
2021-03-27,PA,Belém,city,84141,3401,True,1499641,1501402,5610.74284,0.0404,119
2021-03-27,PA,Belterra,city,876,17,True,17839,1501451,4910.58916,0.0194,6
2021-03-27,PA,Benevides,city,2799,66,True,63768,1501501,4389.34889,0.0236,16
2021-03-27,PA,Bom Jesus do Tocantins,city,588,14,True,17118,1501576,3434.98072,0.0238,2
2021-03-27,PA,Bonito,city,325,12,True,16530,1501600,1966.1222,0.0369,4
2021-03-27,PA,Bragança,city,3317,108,True,128914,1501709,2573.03318,0.0326,15
2021-03-27,PA,Brasil Novo,city,1116,23,True,14983,1501725,7448.44157,0.0206,5
2021-03-27,PA,Brejo Grande do Araguaia,city,720,4,True,7368,1501758,9771.98697,0.0056,2
2021-03-27,PA,Breu Branco,city,530,31,True,67332,1501782,787.1443,0.0585,6
2021-03-27,PA,Breves,city,3636,103,True,103497,1501808,3513.14531,0.0283,4
2021-03-27,PA,Bujaru,city,1070,27,True,29427,1501907,3636.11649,0.0252,5
2021-03-27,PA,Cachoeira do Arari,city,350,15,True,24064,1502004,1454.45479,0.0429,2
2021-03-27,PA,Cachoeira do Piriá,city,657,3,True,34609,1501956,1898.35014,0.0046,3
2021-03-27,PA,Cametá,city,6401,152,True,139364,1502103,4593.00824,0.0237,9
2021-03-27,PA,Canaã dos Carajás,city,6799,64,True,38103,1502152,17843.73934,0.0094,13
2021-03-27,PA,Capanema,city,2170,82,True,69431,1502202,3125.40508,0.0378,14
2021-03-27,PA,Capitão Poço,city,1524,46,True,54425,1502301,2800.18374,0.0302,14
2021-03-27,PA,Castanhal,city,5858,247,True,203251,1502400,2882.15064,0.0422,48
2021-03-27,PA,Chaves,city,474,2,True,23948,1502509,1979.28846,0.0042,0
2021-03-27,PA,Colares,city,276,12,True,12131,1502608,2275.16281,0.0435,0
2021-03-27,PA,Conceição do Araguaia,city,2622,36,True,47991,1502707,5463.52441,0.0137,8
2021-03-27,PA,Concórdia do Pará,city,1807,20,True,33781,1502756,5349.16077,0.0111,4
2021-03-27,PA,Cumaru do Norte,city,664,5,True,13761,1502764,4825.23072,0.0075,3
2021-03-27,PA,Curionópolis,city,1798,22,True,17846,1502772,10075.08685,0.0122,8
2021-03-27,PA,Curralinho,city,551,26,True,34994,1502806,1574.55564,0.0472,0
2021-03-27,PA,Curuá,city,1526,14,True,14587,1502855,10461.36971,0.0092,3
2021-03-27,PA,Curuçá,city,2059,68,True,40584,1502905,5073.42795,0.033,11
2021-03-27,PA,Dom Eliseu,city,1415,16,True,60469,1502939,2340.042,0.0113,14
2021-03-27,PA,Eldorado do Carajás,city,342,10,True,33940,1502954,1007.66058,0.0292,13
2021-03-27,PA,Faro,city,961,27,True,7070,1503002,13592.64498,0.0281,1
2021-03-27,PA,Floresta do Araguaia,city,556,8,True,20525,1503044,2708.8916,0.0144,9
2021-03-27,PA,Garrafão do Norte,city,1194,8,True,26111,1503077,4572.78542,0.0067,5
2021-03-27,PA,Goianésia do Pará,city,577,22,True,41081,1503093,1404.54225,0.0381,12
2021-03-27,PA,Gurupá,city,1859,11,True,33755,1503101,5507.33225,0.0059,0
2021-03-27,PA,Igarapé-Açu,city,1486,40,True,39023,1503200,3808.01066,0.0269,6
2021-03-27,PA,Igarapé-Miri,city,1982,50,True,63036,1503309,3144.23504,0.0252,0
2021-03-27,PA,Importados/Indefinidos,city,0,0,True,,,,0.0
2021-03-27,PA,Inhangapi,city,210,7,True,11861,1503408,1770.50839,0.0333,2
2021-03-27,PA,Ipixuna do Pará,city,1323,32,True,65625,1503457,2016.0,0.0242,5
2021-03-27,PA,Irituia,city,960,15,True,32595,1503507,2945.237,0.0156,17
2021-03-27,PA,Itaituba,city,8075,123,True,101395,1503606,7963.90355,0.0152,40
2021-03-27,PA,Itupiranga,city,973,38,True,53355,1503705,1823.63415,0.0391,12
